,Unnamed: 0,Date,Station,Rainfall (mm),Temperature (°C),Humidity (%),Wind Speed (km/h),Precipitation Type
135,135,5/16/2023,Kathmandu,0.0,11.2,57,2.3,
136,136,5/17/2023,Kathmandu,0.0,26.3,51,4.9,Rain
137,137,5/18/2023,Kathmandu,77.9,18.6,51,0.1,Snow
138,138,5/19/2023,Kathmandu,73.15,29.6,92,8.7,
139,139,5/20/2023,Kathmandu,0.0,15.1,48,14.6,Drizzle
140,140,5/21/2023,Kathmandu,0.2999999999999998,28.4,81,8.4,Rain
141,141,5/22/2023,Kathmandu,95.34,18.6,60,3.0,Snow
142,142,5/23/2023,Kathmandu,0.0,21.1,66,15.6,Rain
143,143,5/24/2023,Kathmandu,0.0,30.6,56,13.2,Drizzle
144,144,5/25/2023,Kathmandu,16.1,23.4,97,14.6,Rain
145,145,5/26/2023,Kathmandu,63.84,22.6,89,19.1,
146,146,5/27/2023,Kathmandu,83.88,23.9,69,0.9,Rain
147,147,5/28/2023,Kathmandu,87.77,20.2,64,5.2,Rain
148,148,5/29/2023,Kathmandu,55.21,33.8,88,3.9,Snow
149,149,5/30/2023,Kathmandu,84.91,19.8,90,14.1,
150,150,5/31/2023,Kathmandu,0.0,26.7,66,5.4,Rain
151,151,6/1/2023,Kathmandu,0.0,19.3,82,11.4,
152,152,6/2/2023,Kathmandu,0.0,24.1,59,2.4,Rain
153,153,6/3/2023,Kathmandu,0.0,19.2,64,8.7,Rain
154,154,6/4/2023,Kathmandu,0.0,16.3,55,3.2,Rain
155,155,6/5/2023,Kathmandu,27.76,24.9,98,16.0,Rain
156,156,6/6/2023,Kathmandu,51.94,22.3,41,14.1,Snow
157,157,6/7/2023,Kathmandu,49.35,20.1,57,12.9,Snow
158,158,6/8/2023,Kathmandu,51.85,21.3,90,12.8,
159,159,6/9/2023,Kathmandu,0.0,17.6,41,0.3,Drizzle
160,160,6/10/2023,Kathmandu,5.85,17.2,89,13.1,Rain
161,161,6/11/2023,Kathmandu,22.12,14.1,66,7.7,Rain
162,162,6/12/2023,Kathmandu,0.1299999999999999,25.9,65,18.0,Snow
163,163,6/13/2023,Kathmandu,97.75,19.9,93,12.3,
164,164,6/14/2023,Kathmandu,48.69,13.7,70,15.9,Rain
165,165,6/15/2023,Kathmandu,24.52,18.6,98,17.3,Drizzle
166,166,6/16/2023,Kathmandu,91.33,34.7,82,6.4,Drizzle
167,167,6/17/2023,Kathmandu,0.0,31.1,93,0.2,Snow
168,168,6/18/2023,Kathmandu,18.98,32.5,98,18.4,
169,169,6/19/2023,Kathmandu,0.0,31.5,90,11.5,Snow
170,170,6/20/2023,Kathmandu,21.47,15.1,100,19.4,Drizzle
171,171,6/21/2023,Kathmandu,93.16,10.4,58,5.3,Rain
172,172,6/22/2023,Kathmandu,54.72,20.0,62,3.5,Rain
173,173,6/23/2023,Kathmandu,0.0,33.4,64,16.8,Rain
174,174,6/24/2023,Kathmandu,79.55,24.8,76,16.7,Drizzle
175,175,6/25/2023,Kathmandu,0.0,16.4,74,0.1,Rain
176,176,6/26/2023,Kathmandu,0.0,24.1,42,6.6,Snow
177,177,6/27/2023,Kathmandu,28.35,29.6,87,7.7,
178,178,6/28/2023,Kathmandu,76.21,28.1,52,18.0,Drizzle
179,179,6/29/2023,Kathmandu,0.0,15.2,90,17.9,Drizzle
180,180,6/30/2023,Kathmandu,98.95,27.7,44,12.5,Rain
181,181,7/1/2023,Kathmandu,69.52,34.8,81,11.4,Drizzle
182,182,7/2/2023,Kathmandu,36.71,23.3,44,0.5,Snow
183,183,7/3/2023,Kathmandu,0.0,11.5,90,19.9,Snow
184,184,7/4/2023,Kathmandu,0.0,22.7,46,16.6,
185,185,7/5/2023,Kathmandu,0.0,12.9,83,0.6,Snow
186,186,7/6/2023,Kathmandu,51.75,15.0,47,13.2,Snow
187,187,7/7/2023,Kathmandu,0.0,14.9,61,6.3,Drizzle
188,188,7/8/2023,Kathmandu,13.61,22.4,72,18.7,Snow
189,189,7/9/2023,Kathmandu,75.62,33.8,57,18.3,Drizzle
190,190,7/10/2023,Kathmandu,45.16,28.7,92,16.8,Drizzle
191,191,7/11/2023,Kathmandu,87.44,13.4,87,16.8,
192,192,7/12/2023,Kathmandu,48.05,14.4,78,10.4,Drizzle
193,193,7/13/2023,Kathmandu,38.53,11.3,69,8.1,Snow
194,194,7/14/2023,Kathmandu,84.06,31.9,72,2.8,Snow
195,195,7/15/2023,Kathmandu,4.11,11.8,74,15.2,Drizzle
196,196,7/16/2023,Kathmandu,0.0,22.7,60,11.7,Rain
197,197,7/17/2023,Kathmandu,0.0,14.6,56,6.1,Drizzle
198,198,7/18/2023,Kathmandu,5.51,26.6,69,9.9,Snow
199,199,7/19/2023,Kathmandu,0.0,22.8,62,17.4,
200,200,7/20/2023,Kathmandu,16.02,30.1,65,8.2,Drizzle
201,201,7/21/2023,Kathmandu,0.0,17.8,91,14.9,
202,202,7/22/2023,Kathmandu,0.0,24.4,67,8.9,Rain
203,203,7/23/2023,Kathmandu,0.0,26.6,54,14.9,Rain
204,204,7/24/2023,Kathmandu,57.8,28.4,69,7.5,
205,205,7/25/2023,Kathmandu,30.5,24.1,80,6.3,Drizzle
206,206,7/26/2023,Kathmandu,0.0,29.9,99,10.9,Snow
207,207,7/27/2023,Kathmandu,0.0,32.6,68,7.3,Drizzle
208,208,7/28/2023,Kathmandu,9.43,22.4,65,18.1,Drizzle
209,209,7/29/2023,Kathmandu,0.0,32.7,60,4.9,Snow
210,210,7/30/2023,Kathmandu,61.89,32.1,87,14.7,Rain
211,211,7/31/2023,Kathmandu,8.08,19.1,74,0.8,Drizzle
212,212,8/1/2023,Kathmandu,84.63,30.5,92,3.1,
213,213,8/2/2023,Kathmandu,0.0,28.2,79,19.3,
214,214,8/3/2023,Kathmandu,0.0,13.2,63,11.3,Drizzle
215,215,8/4/2023,Kathmandu,82.4,11.0,59,11.6,
216,216,8/5/2023,Kathmandu,0.0,10.5,85,4.7,
217,217,8/6/2023,Kathmandu,0.0,32.4,53,7.4,Rain
218,218,8/7/2023,Kathmandu,78.36,20.4,91,16.3,Rain
219,219,8/8/2023,Kathmandu,56.11,25.6,97,10.6,Rain
220,220,8/9/2023,Kathmandu,50.04,29.0,50,8.1,
221,221,8/10/2023,Kathmandu,0.0,14.3,100,15.3,Snow
222,222,8/11/2023,Kathmandu,38.75,13.8,84,9.8,Rain
223,223,8/12/2023,Kathmandu,19.62,12.3,87,16.9,Snow
224,224,8/13/2023,Kathmandu,41.08,13.2,84,2.5,Rain
225,225,8/14/2023,Kathmandu,0.0,26.9,64,8.6,
226,226,8/15/2023,Kathmandu,5.68,22.8,85,5.0,Snow
227,227,8/16/2023,Kathmandu,0.0,16.4,51,0.8,
228,228,8/17/2023,Kathmandu,87.03,20.1,56,1.7,Snow
229,229,8/18/2023,Kathmandu,0.0,34.8,68,17.4,Drizzle
230,230,8/19/2023,Kathmandu,0.0,13.3,93,13.4,Drizzle
231,231,8/20/2023,Kathmandu,45.83,15.9,47,16.3,Drizzle
232,232,8/21/2023,Kathmandu,97.13,24.8,54,16.7,Drizzle
233,233,8/22/2023,Kathmandu,65.64,17.4,98,6.0,Snow
234,234,8/23/2023,Kathmandu,0.0,18.7,40,3.6,Snow
235,235,8/24/2023,Kathmandu,0.0,25.7,91,9.2,Rain
236,236,8/25/2023,Kathmandu,62.03999999999999,14.2,65,18.7,
237,237,8/26/2023,Kathmandu,16.85,16.8,64,3.9,Snow
238,238,8/27/2023,Kathmandu,85.45,18.3,69,8.9,Drizzle
239,239,8/28/2023,Kathmandu,0.0,16.9,97,5.1,Snow
240,240,8/29/2023,Kathmandu,10.6,20.8,85,7.2,
241,241,8/30/2023,Kathmandu,27.36,16.8,69,13.8,Drizzle
242,242,8/31/2023,Kathmandu,0.0,11.1,56,0.6,
243,243,9/1/2023,Kathmandu,0.0,34.9,48,6.9,Rain
244,244,9/2/2023,Kathmandu,39.28,12.2,94,4.9,Drizzle
245,245,9/3/2023,Kathmandu,92.01,20.0,99,17.0,Drizzle
246,246,9/4/2023,Kathmandu,0.0,19.5,46,16.7,Snow
247,247,9/5/2023,Kathmandu,55.62,30.9,89,6.8,Rain
248,248,9/6/2023,Kathmandu,96.73,19.9,76,3.2,
249,249,9/7/2023,Kathmandu,23.47,34.2,53,2.7,
250,250,9/8/2023,Kathmandu,0.0,28.8,77,10.6,Drizzle
251,251,9/9/2023,Kathmandu,89.93,17.1,73,12.7,Rain
252,252,9/10/2023,Kathmandu,0.0,17.3,59,17.1,Drizzle
253,253,9/11/2023,Kathmandu,32.16,30.7,74,0.0,Snow
254,254,9/12/2023,Kathmandu,89.58,29.6,85,15.0,Rain
255,255,9/13/2023,Kathmandu,15.86,34.5,85,15.5,Drizzle
256,256,9/14/2023,Kathmandu,16.18,19.7,61,17.4,Rain
257,257,9/15/2023,Kathmandu,4.89,18.1,69,13.3,
258,258,9/16/2023,Kathmandu,0.0,32.4,82,2.5,Drizzle
259,259,9/17/2023,Kathmandu,0.0,21.5,82,6.5,Snow
260,260,9/18/2023,Kathmandu,0.0,20.6,81,2.3,Drizzle
261,261,9/19/2023,Kathmandu,53.31,32.0,75,0.2,Drizzle
262,262,9/20/2023,Kathmandu,0.0,33.4,60,17.5,
263,263,9/21/2023,Kathmandu,0.0,17.3,97,14.0,Rain
264,264,9/22/2023,Kathmandu,47.95,14.9,53,10.7,Drizzle
265,265,9/23/2023,Kathmandu,55.94,26.5,97,16.2,Rain
266,266,9/24/2023,Kathmandu,34.29,12.9,77,15.2,
267,267,9/25/2023,Kathmandu,30.730000000000004,14.6,59,0.0,
268,268,9/26/2023,Kathmandu,21.06,27.6,46,3.6,Rain
269,269,9/27/2023,Kathmandu,94.25,20.9,65,9.0,Rain
270,270,9/28/2023,Kathmandu,69.35,19.4,42,17.6,Snow
271,271,9/29/2023,Kathmandu,98.77,18.9,46,0.3,
272,272,9/30/2023,Kathmandu,0.0,21.7,72,8.1,
273,273,10/1/2023,Kathmandu,2.0999999999999996,15.7,75,6.7,Rain
274,274,10/2/2023,Kathmandu,63.75,24.1,57,18.0,Rain
275,275,10/3/2023,Kathmandu,37.11,27.5,65,1.4,
276,276,10/4/2023,Kathmandu,8.36,25.5,100,16.5,
277,277,10/5/2023,Kathmandu,60.79,20.9,69,16.3,Rain
278,278,10/6/2023,Kathmandu,4.24,34.8,79,18.5,Rain
279,279,10/7/2023,Kathmandu,63.14,19.9,64,8.3,
280,280,10/8/2023,Kathmandu,83.64,19.0,92,3.1,
281,281,10/9/2023,Kathmandu,95.51,21.6,89,14.2,Rain
282,282,10/10/2023,Kathmandu,79.55,26.7,75,6.8,Rain
283,283,10/11/2023,Kathmandu,5.55,32.7,68,6.4,Snow
284,284,10/12/2023,Kathmandu,64.14,13.2,45,13.9,Drizzle
285,285,10/13/2023,Kathmandu,47.96,20.4,76,2.9,Drizzle
286,286,10/14/2023,Kathmandu,0.0,25.4,81,6.1,Drizzle
287,287,10/15/2023,Kathmandu,91.47,10.4,68,2.3,Rain
288,288,10/16/2023,Kathmandu,0.0,13.0,89,0.3,Rain
289,289,10/17/2023,Kathmandu,0.0,15.1,47,12.6,Snow
290,290,10/18/2023,Kathmandu,23.0,34.3,85,0.5,Drizzle
291,291,10/19/2023,Kathmandu,0.0,30.0,53,19.4,Snow
292,292,10/20/2023,Kathmandu,20.53,27.9,55,5.9,Rain
293,293,10/21/2023,Kathmandu,83.6,28.4,57,19.7,
294,294,10/22/2023,Kathmandu,79.65,31.3,48,12.6,Drizzle
295,295,10/23/2023,Kathmandu,0.0,11.0,86,12.3,
296,296,10/24/2023,Kathmandu,24.69,28.1,73,3.3,
297,297,10/25/2023,Kathmandu,25.87,30.9,74,11.7,Rain
298,298,10/26/2023,Kathmandu,68.75,26.7,70,14.5,Snow
299,299,10/27/2023,Kathmandu,60.03,34.2,63,11.7,Rain
300,300,10/28/2023,Kathmandu,54.95,11.2,82,14.6,Drizzle
301,301,10/29/2023,Kathmandu,72.7,19.2,51,1.5,Drizzle
302,302,10/30/2023,Kathmandu,57.09,10.2,45,10.4,
303,303,10/31/2023,Kathmandu,15.670000000000002,22.9,96,7.3,Rain
304,304,11/1/2023,Kathmandu,6.18,28.9,58,12.1,Snow
305,305,11/2/2023,Kathmandu,64.32,22.3,64,6.2,
306,306,11/3/2023,Kathmandu,70.4,15.4,48,12.4,Drizzle
307,307,11/4/2023,Kathmandu,32.05,10.0,73,8.0,Snow
308,308,11/5/2023,Kathmandu,3.6799999999999997,31.5,92,5.0,
309,309,11/6/2023,Kathmandu,3.6799999999999997,15.0,46,11.1,Rain
310,310,11/7/2023,Kathmandu,0.0,28.9,81,12.1,
311,311,11/8/2023,Kathmandu,0.0,29.0,67,10.4,Drizzle
312,312,11/9/2023,Kathmandu,61.42,11.9,94,9.6,Rain
313,313,11/10/2023,Kathmandu,0.0,29.5,88,1.6,Rain
314,314,11/11/2023,Kathmandu,34.83,30.4,58,19.5,Rain
315,315,11/12/2023,Kathmandu,0.0,13.4,73,7.7,
316,316,11/13/2023,Kathmandu,0.0,32.4,61,6.6,
317,317,11/14/2023,Kathmandu,0.0,28.5,68,16.5,Snow
318,318,11/15/2023,Kathmandu,79.53,23.0,78,10.7,Rain
319,319,11/16/2023,Kathmandu,0.0,32.0,99,9.9,Snow
320,320,11/17/2023,Kathmandu,0.0,14.5,65,10.2,Rain
321,321,11/18/2023,Kathmandu,0.0,26.6,41,10.8,Drizzle
322,322,11/19/2023,Kathmandu,9.92,31.0,74,3.0,Drizzle
323,323,11/20/2023,Kathmandu,22.91,33.7,55,14.2,Snow
324,324,11/21/2023,Kathmandu,66.58,16.3,94,13.5,
325,325,11/22/2023,Kathmandu,5.08,23.6,59,12.0,Drizzle
326,326,11/23/2023,Kathmandu,93.67,17.3,41,14.2,Snow
327,327,11/24/2023,Kathmandu,22.57,18.8,84,15.1,Rain
328,328,11/25/2023,Kathmandu,6.109999999999999,11.5,59,8.4,Snow
329,329,11/26/2023,Kathmandu,12.69,27.1,87,10.7,Snow
330,330,11/27/2023,Kathmandu,0.0,20.7,66,10.5,Snow
331,331,11/28/2023,Kathmandu,93.26,12.5,58,10.0,
332,332,11/29/2023,Kathmandu,48.49,11.1,45,1.1,Rain
333,333,11/30/2023,Kathmandu,0.0,26.6,73,13.9,Snow
334,334,12/1/2023,Kathmandu,0.0,28.4,71,14.0,Rain
335,335,12/2/2023,Kathmandu,21.21,10.2,66,9.9,
336,336,12/3/2023,Kathmandu,21.15,34.5,99,0.3,Drizzle
337,337,12/4/2023,Kathmandu,1.5499999999999998,33.4,63,9.1,Drizzle
338,338,12/5/2023,Kathmandu,0.0,14.3,49,11.8,Drizzle
339,339,12/6/2023,Kathmandu,0.0,34.4,52,19.2,Snow
340,340,12/7/2023,Kathmandu,27.52,24.7,55,7.8,Rain
341,341,12/8/2023,Kathmandu,93.88,28.2,78,17.8,Snow
342,342,12/9/2023,Kathmandu,0.0,33.5,50,2.2,
343,343,12/10/2023,Kathmandu,13.27,16.8,59,13.9,Rain
344,344,12/11/2023,Kathmandu,68.46,32.9,84,0.8,Drizzle
345,345,12/12/2023,Kathmandu,56.58,29.1,83,5.8,Snow
346,346,12/13/2023,Kathmandu,63.96000000000001,22.8,79,16.5,Rain
347,347,12/14/2023,Kathmandu,48.56,25.9,80,17.6,Snow
348,348,12/15/2023,Kathmandu,0.0,14.0,52,16.7,Drizzle
349,349,12/16/2023,Kathmandu,0.0,34.0,95,16.3,Rain
350,350,12/17/2023,Kathmandu,4.29,23.4,68,18.5,
351,351,12/18/2023,Kathmandu,0.0,11.3,57,9.5,Rain
352,352,12/19/2023,Kathmandu,0.0,21.2,98,19.5,Drizzle
353,353,12/20/2023,Kathmandu,0.10000000000000009,25.0,91,6.6,Rain
354,354,12/21/2023,Kathmandu,88.72,24.7,95,2.7,Rain
355,355,12/22/2023,Kathmandu,36.75,14.9,60,14.2,
356,356,12/23/2023,Kathmandu,74.05,33.9,49,2.7,Drizzle
357,357,12/24/2023,Kathmandu,0.0,20.9,72,15.6,Rain
358,358,12/25/2023,Kathmandu,80.09,20.3,87,6.7,Snow
359,359,12/26/2023,Kathmandu,0.0,20.2,97,9.0,
360,360,12/27/2023,Kathmandu,55.7,29.5,91,2.0,
361,361,12/28/2023,Kathmandu,55.57,15.3,56,11.5,
362,362,12/29/2023,Kathmandu,0.0,18.3,79,13.1,Drizzle
363,363,12/30/2023,Kathmandu,80.01,14.3,76,4.3,Drizzle
364,364,12/31/2023,Kathmandu,31.5,12.6,54,15.8,Rain
365,365,1/1/2023,Pokhara,18.25,32.0,44,8.9,
366,366,1/2/2023,Pokhara,74.71,21.4,75,17.9,Snow
367,367,1/3/2023,Pokhara,0.0,34.1,79,19.0,Rain
368,368,1/4/2023,Pokhara,81.01,34.4,94,14.2,
369,369,1/5/2023,Pokhara,0.0,21.5,83,17.9,Drizzle
370,370,1/6/2023,Pokhara,69.19,23.1,57,3.8,Rain
371,371,1/7/2023,Pokhara,29.25,33.4,92,1.9,Snow
372,372,1/8/2023,Pokhara,10.54,19.4,60,4.4,Drizzle
373,373,1/9/2023,Pokhara,65.98,24.2,83,14.5,Snow
374,374,1/10/2023,Pokhara,88.48,17.8,100,13.7,Drizzle
375,375,1/11/2023,Pokhara,0.0,10.6,95,6.7,Snow
376,376,1/12/2023,Pokhara,69.66,10.1,71,2.9,Snow
377,377,1/13/2023,Pokhara,0.0,33.7,46,6.4,Drizzle
378,378,1/14/2023,Pokhara,77.75,15.0,52,5.3,Snow
379,379,1/15/2023,Pokhara,3.51,26.8,59,6.0,Snow
380,380,1/16/2023,Pokhara,69.77,15.8,40,11.7,Rain
381,381,1/17/2023,Pokhara,24.53,17.6,79,2.4,Snow
382,382,1/18/2023,Pokhara,0.0,24.1,99,3.6,
383,383,1/19/2023,Pokhara,0.0,17.2,58,5.1,Rain
384,384,1/20/2023,Pokhara,0.0,32.1,60,2.0,
